Brand;Buzz;Impression;Quality;Value;Reputation;Satisfaction;Recommend;Awareness;Attention;Ad Awareness;WOM Exposure;Consideration;Purchase Intent;Current Customer ;Former Customer
BMW;8.9;23.4;35.4;6.1;35.4;5.7;13.5;86.4;8.9;11.1;5.6;9.4;1.5;4.1;3.2
BMW;15.1;33.3;34.2;6.1;23.2;7.7;12.2;85;19.3;12.7;10.2;11.2;0;6.9;1.7
BMW;7.4;27.5;30.5;-1.8;32.8;9;12.9;88.3;9;8.4;7.2;10.9;4.2;3.3;7.3
BMW;4.4;19.6;33;1.2;23.4;2.4;8.2;80.4;4.4;6.5;4;1.6;0;0;5.2
BMW;5.8;21.6;22.7;-2.1;20.6;0.2;15.6;85.4;11.7;8.8;13.4;10.2;5.7;5.6;0.7
BMW;-0.1;19.8;27.5;0.3;23.5;1.8;8.3;92.5;7.1;9.3;4.6;9.3;0;0.9;4.9
BMW;2;17.9;21.7;-7.1;21.6;9.9;9.7;90.5;11.6;11.8;11.5;4.6;0.8;1.6;9.9
BMW;8.6;17.3;25;-3.6;27.4;2.7;6.2;81;9.9;8.3;4.6;3.8;0;0.7;5.9
BMW;2.9;14.7;28;-5.3;27.4;2.5;-4.3;85.8;13.5;10.4;7.2;3.4;0.8;3.4;0.8
BMW;15.5;33.6;39.9;2.4;29.4;4.2;16.6;91.6;19.7;13.8;8;5.9;1.4;2.1;2.8
BMW;16.3;27.1;31.9;3.5;22.6;5.3;11.7;86.4;18;14.1;10.8;7.2;0.9;2.6;3.5
BMW;5.8;12.1;19.6;3.7;19.7;2.3;10.5;79.3;7.3;11.3;6;5.4;0.8;0.8;3.9
BMW;13.3;25.7;35.1;4.5;33.4;1.9;6.3;93.2;18.3;10.3;8.5;6.9;0;1.2;2.1
BMW;11;27.5;34.8;14.1;35.6;3.4;15.4;85.7;13.9;11.6;7.2;7.9;2.3;2.2;4.3
BMW;9.6;31.1;47.7;12.1;33.7;4.6;10.8;82.8;9.6;11;6.2;8.7;0.8;2.9;5.5
BMW;12.2;31;41.8;0.2;29.7;6.8;18.6;90.1;15.8;10.7;8.8;7.1;0;7.1;3.4
BMW;10.8;24;26.4;-0.3;23.1;2.4;15.5;90.9;13.4;16.8;6.2;5;2.4;2.4;4.3
BMW;10.4;17.2;31.7;0;26.5;1.5;12.5;85;11.8;13.5;6.1;11.2;2;1.5;1.5
BMW;5.2;18.7;21.9;-6.6;23.4;-0.2;-1.4;89.4;16.7;12.1;9;6.7;1.5;0.8;8.2
BMW;1.5;12.5;27.3;0.4;23.5;-0.7;9.4;83.4;11.2;6.9;0;6.1;1.6;0;1.4
BMW;12.5;24.4;31.2;-5.8;23.3;3.4;7.4;97.3;13.8;13.7;8.9;7.2;2.7;4.8;3.8
BMW;10.5;25.3;34.5;1.8;27.6;4.3;10;83.7;10.5;15.5;8.6;3.9;0.8;0.8;5.1
BMW;3.6;12.3;31.6;-0.3;18.6;2.1;5.5;84.4;3.6;7.9;5.7;5.9;0;1.4;1.4
BMW;17.9;29.7;32.6;6;36.9;5.5;18.5;92.7;20;13.7;10.6;10.4;1;4.1;6.6
BMW;8;19.5;28.7;-0.7;19;1.7;7.2;87.8;17.6;10.3;9.6;5.6;3.3;3.3;3.9
BMW;2.1;19.1;26.6;-1.1;22.2;1.1;-3.6;86.4;11.2;11.1;4.4;4.5;2.2;4.6;2.2
BMW;6;27.7;36;-1.1;31.9;0.9;12.4;88.2;6;11.3;5.1;6;1.8;1.8;0
BMW;6.9;19.7;31.3;-7.9;20.1;0.9;8.4;88.5;12.4;8.6;7.6;5;0;2.2;2.7
BMW;16;19.6;34.2;7.7;27.2;4.9;11;96.4;19.8;19.7;6.8;6.8;0;1.7;5.1
BMW;4.8;25.3;30.4;3.3;26.2;2.7;13.8;87.2;8.6;7.2;3.5;7.7;0;1;4.1
BMW;3.8;26.9;31.8;3.2;21.8;2.5;12;90.4;6.8;10;6.4;12.8;0.9;2.5;4.4
BMW;8.1;22.6;29.7;-2.4;31.6;0;6.4;84.9;10.7;8.2;3.4;7.4;1.3;0.7;2
BMW;8.6;22;18.9;3.8;24;8.6;15.7;90;8.6;6.4;7.2;7.2;0;5;3.6
BMW;6.2;28.8;33.8;6.9;32.9;9;19.7;89.9;9.9;18.7;10.9;10.9;7.1;7.1;3.7
BMW;5.2;21;33.8;-4;31;2;12.1;89.1;7.3;13.8;4.1;3.2;0;0;3.1
BMW;4.6;14.5;26.4;0;19;0.9;8.1;89.2;6.4;9.2;0.9;6.4;0;0.9;1.8
BMW;11.7;31.2;43.1;1.2;27.5;5.8;18;89.3;14.1;15.3;18.7;11.9;2.4;2.4;4.6
BMW;5.2;20.1;26.3;2.7;32.6;3;6.6;85.5;9.2;8.8;6.2;13.8;2;1;2
BMW;6.1;28.1;30.5;6.1;22.5;5.6;7.8;88.3;6.1;15;10.4;6.3;1.5;6.3;2.2
BMW;6.7;38.3;40.2;5;24.2;4.8;16.9;84.1;11.7;5.7;10.3;5.7;0.9;2.7;3.9
BMW;8.4;20.7;26.9;-0.7;11.8;2.5;13.3;84.5;13.6;17.2;5.4;17;3.9;1.7;10.1
BMW;3.7;21.8;33.4;4.1;25.8;0.7;10;89;3.7;10.7;4.5;7.5;0;0;3.7
BMW;4.9;18.7;32.7;4.5;25.3;3.2;8.7;87.1;14.5;8.9;9.9;5.6;3.4;3.4;4.3
BMW;9.6;27.4;32.9;5;28.5;4.2;7.3;75.1;14.8;8.4;8.6;8.8;0;1.5;4.2
BMW;9.7;22.6;27.3;5;32.4;1.3;15.3;87;9.7;12.6;6.8;6.1;1.3;0.7;3.3
BMW;17.5;21;30.4;3.5;28.8;3.6;-1.4;88.6;18.9;13.8;7.5;7.8;0;3.6;5.1
BMW;7.3;20.2;29.3;3.4;23.8;5.7;12.4;88.9;16.6;12.9;10;9.3;4.7;1;5.7
BMW;6.7;21.8;29.1;4.8;31.1;2.2;15.1;87.1;6.7;8.9;9.9;4.6;1.1;2.2;1.1
BMW;9.3;24.2;33.8;-0.5;39.6;3.1;5.5;86;12.4;14.2;10.9;6.9;2.9;1.5;4.8
BMW;10.1;27.7;39.4;4.6;36.5;2.9;5.7;88.8;12.9;17.5;6.7;10.6;1.9;1;5.5
BMW;10.8;12.6;33;-1.5;19.3;2.3;8.3;83.6;18;16.5;4.9;3.8;0;1.5;3.8
BMW;5.1;28.7;28;0.5;29.3;1;13.1;88.2;7;5.1;1.9;7;1.9;0;2.9
BMW;9.5;28.5;34.2;3.2;38.4;9.6;10.9;90.3;14.9;17.4;9.7;11.5;4.4;7.1;2.5
BMW;10.1;30.1;42.9;-2.9;25;3.4;8.8;88.7;13.1;12.8;11.6;7.6;1.5;2.7;4.2
BMW;14.1;27.7;27.4;2.3;38.3;10.9;8;93.2;19.9;10.6;11.5;13.2;3.1;3.3;13.9
BMW;0.8;28.2;31.2;-10.6;27.7;4.1;8.5;91.5;16.2;20.9;5.2;6;0;0;4.1
BMW;5.9;25;40.5;-2.1;25.6;8.3;14.6;89.6;14.4;16.8;9.1;5.6;0.8;2.4;7.5
BMW;4.6;30.9;33.3;-2.8;27.8;4.2;5.4;93.7;15;14.1;6.1;10.7;4;0.9;6.3
BMW;4.1;20.4;34.5;-1.8;22.9;-0.5;8;92.1;4.1;9.1;7.4;8.5;2.7;2.9;1.2
BMW;11.5;17.5;26.5;0.1;28.3;2.4;12.1;85.5;15;16.4;11.5;6.7;0.8;1.6;3.6
BMW;4.2;26.6;33.1;-2.9;24.6;-0.8;12.1;81.5;4.2;6;4.2;3.2;0;0;4.7
BMW;9.8;11.3;21.7;-2.5;26.1;0.9;3.8;76.1;17.1;7.9;7.3;8.1;1.7;0.9;1.7
BMW;9.4;16.8;25.6;2.4;21.7;1.2;12.7;83.5;15.5;7.6;3.7;3.7;0.9;0.9;5.3
BMW;3.6;31.2;30.8;2.5;25;2.8;11.8;86.3;5.8;5.2;2.8;5.5;0;4.4;1
BMW;7.1;20.3;32.9;-2.3;28.4;0.9;13;84.5;14.6;8.4;8.4;1.9;0;0.9;2.8
BMW;8.9;31.1;30.9;-1.1;24.8;6.5;10.2;89.3;8.9;6.7;9;17.3;3.2;6.5;3.6
BMW;4.5;32.9;33.4;7.7;28.9;5.6;9.8;89.3;10.2;9.7;9.1;11.6;0;0.9;5.6
BMW;3.3;37;28;-2;28.7;11.1;16.5;91.5;12.8;10;8.7;16.7;5.6;7.1;4
BMW;7.1;17.7;26.4;-9.3;19.2;5.8;13.4;86.1;12;9.7;11.2;4.8;0;3.9;8.7
BMW;6.8;22.6;28.8;-1.2;25.2;0.9;1.3;78.6;10.2;6.5;5.6;4.3;0;0;1.7
BMW;6.2;17.6;28;0.4;20.5;2.6;5.9;80.7;15.5;20.2;5.9;8.6;1.7;2.7;1.7
BMW;18.3;33.3;38.5;5.6;38.9;11.8;27.4;88.2;18.3;13.6;17.5;12.7;5.7;8.2;8.2
BMW;6.8;35.2;35.7;5.6;32.8;6.1;13.4;88.2;6.8;6.8;3.8;5.7;1.3;1.9;5.1
BMW;8.7;12.5;32.9;-4.1;22.3;5.3;14.3;91.1;10.3;8.5;8.3;9.6;2.4;3.3;2.8
BMW;-1.8;21.1;19.5;-1.9;20.5;4.5;9.3;85;7.6;8.4;5.2;4.7;1;0;6
BMW;0.5;20.9;22.2;-1.5;19.5;4.9;5;72.7;4.3;8.1;0.7;5.4;0.7;4.6;2.6
BMW;11.4;25.2;46.9;2.7;27.5;5;15.6;87.8;15;20.4;6.4;10.5;1.4;6.9;0.9
BMW;10.2;21.5;20.9;1.5;23.5;5.1;15.4;87.9;14.1;11;12.7;7.3;0;1.7;3.5
BMW;7.5;20.8;24.5;3.4;23.4;2.6;3.4;77.2;8.9;10.7;4.8;2.2;0;3.4;1.5
BMW;8.8;25.9;34.8;0.2;20.6;6.3;7.2;88.1;12.2;16.1;8.4;8.3;4.7;4.2;6.2
BMW;6.3;17.1;25;-3.8;22.3;7;5.5;78.9;11.2;14.7;11.2;14.4;3.5;6.2;2.5
BMW;1.9;21.8;33.1;-11.8;30.8;2.5;11.2;85.7;12.4;9.5;8.1;6.3;1.3;1.3;8.4
BMW;2;18.4;29.1;0.7;20.5;5.5;9.9;77.9;8.9;12.2;7.5;8.5;2;5.5;5
BMW;2.7;22.1;22.7;1;18;4.7;3;86.2;6.7;10.9;5.1;4.7;0.9;2.7;2.9
BMW;7.2;27.2;33.5;-1.6;23.4;5.7;13.5;82;11;13;9.7;3.8;0.9;1;7.6
BMW;3.2;23.1;28.2;-7.6;20;2.9;2.1;89.8;7.3;12.1;3.4;1.7;0;1.1;6.6
BMW;8.5;27;28.9;-2.2;24.3;0;15;92.3;13.2;14.6;3.2;3.7;0;0;0
BMW;7.4;15.5;17.1;-11.6;16.8;1.6;5.5;84.7;7.4;14.3;3.3;7.1;1.6;1.6;0
BMW;1;14.4;20.8;-11.1;19.3;2.5;9.6;81.7;6;8.6;2.6;6.9;3.3;0.8;4.3
BMW;-1.2;5;12;0.3;13.7;0.9;3.5;93.3;8.5;8.4;3.6;2.9;0.9;1.8;4.5
BMW;1.4;21.4;33.7;6.8;31.8;-1.4;16.1;87.8;10.6;12;7;11.4;6.8;0.8;3.8
BMW;1.4;20.6;30.1;7.4;19.6;1.6;7.6;91.9;6.8;6.5;2.5;1.6;0;0;3.3
BMW;3.1;12.1;14.9;0.4;13.1;0;8.3;86.2;5.1;10.7;5.1;6.1;0;1;1
BMW;2.8;21.2;28.4;-3.5;23.2;3.2;8.2;73.5;8.8;8.8;5.8;5;1;1;4.5
BMW;8.1;20.5;33.4;-5.5;23.8;1.3;7.2;82.5;11.6;9.7;6.2;6.1;0.9;4.8;0.9
BMW;18.9;22.5;27.9;5.5;27;2.5;5.2;87.5;18.9;13.3;4.6;12.3;0;0.8;2.5
BMW;9.4;21.9;23;-1.5;31.3;8.5;16;94.6;15.7;17.7;11.5;15.7;3.4;7.1;7.6
BMW;7.9;20.4;24.1;-2.5;24.8;3.1;6.1;77.5;12.4;9.2;5.6;9;0;1.6;3.9
BMW;9.4;29.2;40.7;15.2;33.4;6.1;17.4;92.5;10.7;12.2;4.1;9.3;3.4;3.4;6.8
BMW;9.1;23.9;25.7;-3.8;28.3;3.5;21.2;90.6;10.7;14.7;8.2;9.1;2.6;3.5;4.2
BMW;6.8;26.7;36.8;-3.5;34;4;4.6;81.8;6.8;5.5;0.9;5.8;0.9;0;6.8
BMW;9.1;22.9;28.1;0.8;35.5;2.9;11;87.1;15.6;15.2;6.3;4.9;2.9;1;2.9
BMW;11.7;26.6;27.7;-1.4;29.1;3.9;9.3;90.3;11.7;3.2;8.7;3.2;0.8;0.8;5.7
BMW;0.4;19.9;28.1;-6.9;29.8;0;8.9;87.7;3.8;7.7;2.6;6.1;0;0.9;0.9
BMW;9.1;27.4;46.8;4.4;29.4;4.8;16.6;93.4;11.2;12.4;8.5;10.2;3.8;6.9;2.1
BMW;8.2;29.9;36.1;2.4;31.1;6.4;10.2;88.6;10;9.1;5.5;14.7;3.1;2.9;7.1
BMW;3.8;23.9;23.7;-8.8;21.1;0.9;11.1;81.1;11.1;9.8;4.6;9.4;3.8;0;6.3
BMW;14;22.5;39;5.6;33.9;8.3;24.9;86.4;14;10.5;8.6;7.8;0.8;5.8;2.5
BMW;5.1;28.6;34;-4.4;26.5;-0.5;11.8;89.4;7.6;12.8;5.4;6.6;1.3;0.6;5.7
BMW;-2.6;4.4;13.4;-14.8;25.4;2.9;1.3;77.1;9.4;9.5;13.1;5.8;4.1;3.3;2
BMW;13;31.1;29.7;2.7;29.4;7.4;15.5;88.1;13;11.9;5.7;13.1;6.2;2.7;6.2
BMW;8.7;9.1;25.4;-3.6;24.2;0.8;4.1;86.9;8.7;12.8;2.4;6.3;0.8;0;1.6
BMW;7;12.1;16.8;-18.2;20.2;3.7;-2;84.4;12.8;14.3;2.3;7.4;3.7;3.7;2.3
BMW;9.6;20.1;16.7;5.5;22.3;4.1;4.1;84.9;13;15.1;4.9;8.3;3.3;4.9;0.8
BMW;13.1;26;25.4;-1.2;30.6;6.4;13.9;88.1;14.8;11.9;3.8;3.6;0.8;4.8;1.7
BMW;11.8;12.2;19.5;0.3;17.2;0.9;9.5;86.2;13.7;12.8;12.3;5.6;3.7;1.9;1.4
BMW;9.8;18.9;21.5;-6.3;18.6;1.8;13.5;93;15.4;13.4;4.5;12;3.6;0.9;2.6
BMW;6;14.8;25.1;-7.7;11.4;4.2;4.7;89.7;8.1;14.6;3.1;2.1;0;2.3;4.2
BMW;10.4;25.9;30.7;5;16.6;3.1;13.3;91.8;12.6;18.1;6.1;8.6;5.4;1.1;5.6
BMW;15.4;26.2;29.3;2.1;26.3;3.9;10.4;84.5;17.1;12.8;10.1;14.6;3.1;3.9;0
BMW;14.1;26.8;31;0.3;31.5;0;9.5;83.1;14.1;18.8;5;7.6;1.7;1.7;2.9
BMW;11.4;23.5;28.9;-0.9;29.2;4.2;13.4;90.2;14.5;11.3;8.6;10.5;3.7;2.1;3.5
BMW;7;32.8;34.3;5.6;30;7.4;12.1;95.7;7;16.4;5.4;10.5;0.8;1.6;6.6
BMW;12.3;20.4;41.7;-3.7;23.1;1.6;13.8;89.8;13.9;14.9;4;3.2;0;0;10.1
BMW;2.2;20.9;38.7;-8.3;21.9;1.1;7.8;92.5;4.5;9.9;3.4;6;0;1.1;3.4
BMW;2;26.1;29.9;-2.3;15.6;0;12;91;9.7;13.1;6.3;5.9;5.1;0.8;6.2
BMW;3.6;28.7;37;4.8;32.7;10.3;17.2;90;5.2;16.3;9.5;11.8;3.2;3.9;8.7
BMW;13.3;28.6;30.6;11.1;29.9;6.3;14.9;88.8;13.3;11.9;9.4;5.6;0.8;3.1;4.7
BMW;6.3;26.2;35.8;-8.3;31.8;0.9;13.8;88.2;6.3;11.9;5.9;6.5;0.9;0.9;2.1
BMW;7.5;11.8;24.7;-6.5;22.1;2.9;5.7;93.7;16.9;11.2;6.8;8.2;0.8;0.8;5.3
BMW;7.5;24.1;26.6;1.1;21.8;1.9;2.7;89.5;13.9;13.2;5.2;7;0;0;2.9
BMW;14.2;25.6;38.9;1.4;24.5;8.9;16.5;88.1;14.2;13.5;4.6;8.9;4.6;4.6;5.4
BMW;10.6;20.6;33.3;-2.4;32.1;4.8;14.2;87.1;12.8;6.4;4.4;7.8;2.6;3.8;4.1
BMW;7.3;20.7;28.1;-1.1;25.3;2.4;17.4;87.5;10.6;13;8;6.3;3;1.7;6.1
BMW;17.3;29.9;34.1;-7.6;25.1;5.4;2.6;91.6;19;12.3;4.4;4.5;0;2.6;4.5
BMW;11.3;17.4;30;-3.4;25.2;3.2;10.1;82;11.3;15.4;9.6;6.6;0;1.1;3.2
BMW;11;21.2;26.1;-2.5;21.8;2.1;9.2;90.6;13.1;15.5;4.3;7.9;1.1;2.1;1.1
BMW;6.9;19.5;28;0;16.6;6.9;13.2;85.9;8.7;11.8;8.7;11.3;1.8;1.8;5.1
BMW;2.7;23;29.8;-1.7;38.2;5.2;8.9;92.8;6.4;11.9;3.6;9.7;0.9;1.8;6.1
BMW;0.8;18.5;26.3;-3.3;30.1;1.6;4.9;93;16.6;12.5;8.5;6.8;0;1.6;4.1
BMW;9.5;14.1;21.6;-6.8;21.8;4.1;-1;87.4;9.5;7.7;7;9.7;1.1;2;3.9
BMW;7.3;12.5;18.9;3.1;23.9;-0.5;7.2;83;15;13.8;8;6.1;0.8;0.8;5.5
BMW;7.2;21.6;24.7;3.3;30.1;3.2;10.3;78.1;8.9;8.9;7.9;3.4;0;3.2;3.4
BMW;5.1;16.2;26.7;2.8;26;1;5.9;90.7;12.3;12.5;3.8;6.2;0;3;4.5
BMW;5.5;19.3;20.7;-8.5;29;5.8;10.6;82.5;14.4;12.5;9;5.3;2;3.5;3
BMW;4.1;17.5;25.7;-4.6;23;2.4;5.3;76.2;7.1;13.5;4.6;4.6;1.2;2.7;6.2
BMW;9.2;19.8;31.1;3;21.4;1.2;15.4;87.8;10.6;8.7;11.3;3.4;1.2;2;2.5
BMW;11;28.2;37.6;-7.9;33.7;4.2;14.9;96.2;14.7;19.6;10.6;10.9;1;1;9.2
BMW;4.7;24.9;32.1;2.2;34.6;0.6;22.8;83.5;8;8.4;0.6;6.5;0;0;8.2
BMW;14.8;21.6;31.6;-4;24.4;5.4;14.3;98.7;14.8;18.7;8.1;13.4;4;0;6.3
BMW;1.8;13.3;18.3;-8.5;22.4;1.8;-0.2;81.3;5.4;5.7;3.5;1.8;0;1.8;2.7
BMW;12.5;22.2;37.7;-4.7;25.8;2;11.2;92.2;12.5;9.9;10.6;12.1;0;1.1;4.9
BMW;2.3;22.7;33.3;1;29.9;3.2;12.4;85.9;5.8;8.4;7.2;11.9;1.7;4;5.2
BMW;10.5;16.8;27.4;-0.2;20.2;4.2;8.4;86.9;10.5;10.1;2.5;9;2.5;2.5;1.7
BMW;1.8;20.5;31.3;-7.2;28.5;1.8;7.9;82.4;4.1;9.2;2.1;4.6;0.9;0;5.2
BMW;13.2;29.6;39.3;-2.1;30.6;7.5;11.6;86.9;13.2;14.8;8.6;8.3;0;0;8.7
BMW;3.4;26.5;42.8;4.3;19.8;1.9;12.3;84.8;8.5;6;2.8;7.6;1.9;1.9;2.8
BMW;1;13;25.3;-12.2;23.9;3;2.4;93.6;10.8;8.9;10.2;5.3;1;2;3
BMW;8.7;22;29.2;-2.8;21;3.5;1.9;84.1;13.7;6.9;5.4;11.9;0.8;2.7;4.2
BMW;7.6;35.2;36.3;4.3;24.1;2.7;14.5;88;11.9;9.4;8.5;13.7;2.2;0.9;6.4
BMW;3.8;18.3;31.1;-8.7;18.2;0;0.5;81.2;8.5;18;1.2;6.1;2.5;0;1.8
BMW;3.3;24.2;18.7;-5.5;28.8;2.5;4;82.3;3.3;11.8;2.5;8.2;0.8;1.7;2.5
BMW;0;20.8;24.6;6.4;21.2;-0.8;6.8;87.6;4.6;8.2;7.4;6.6;1.5;0;2.3
BMW;0.2;21.9;24.5;-6.5;13.4;0.8;3.3;87.6;4.6;8.5;3.1;2.4;0;0.8;0.8
BMW;4.1;26.3;33.3;-5.5;19.8;3;12.8;89.4;10.3;8;10.2;6.3;3;3;1.1
BMW;6.9;16.6;39.5;-11.9;29.5;1.6;3.7;92.1;6.9;5.8;1.6;6;0.8;0.8;2.5
BMW;5.2;16.8;23.6;-3.2;21.8;1.7;8.2;92.3;11.6;13.2;5;6.4;0.8;2.3;4.8
BMW;11.7;19.8;26.9;3.9;27.8;3.4;6.7;83.8;14.7;13.8;9.9;12.1;5.3;3.4;6.5
BMW;11.6;24.2;39.6;-5.1;29.8;7.7;22.8;84.8;11.6;15.6;7.7;8.1;3;4.6;5.6
BMW;5.8;20.7;25.8;1.1;30.8;3.8;18;92.3;16.2;10.2;7.3;8.3;0;0;5.6
BMW;5.4;14.4;23.8;-11.9;22.1;0.9;0.9;92.3;5.4;7;2.7;9.3;0.9;0;3.6
BMW;11.6;21.1;31.6;-2;34.3;3.3;8.9;89.3;11.6;8.2;5.9;4.1;2.5;3.3;4.1
BMW;5.5;16.8;28.9;1.1;21.9;-1.2;4.5;91.7;7;6.6;0.9;7.3;0.8;0.8;4.4
BMW;8.7;33.6;34.3;13.8;33;5.2;15.6;86.1;10.5;13.1;4.3;11.2;4.3;5.2;6
BMW;6.4;19.7;29.9;0.7;16.9;2.1;11.9;83;9;5;2.1;6.3;0;0;2.1
BMW;7;28.5;40.2;-4.7;26.7;2.4;10.9;88.9;13.8;17.7;2.6;2.4;0;0.6;4.1
BMW;17.6;18.8;20.3;1.1;23;4.2;2.3;88.8;17.6;11.5;2.4;6.1;5.1;3.6;2.4
BMW;7.3;26.5;29.8;-1.7;27.2;1.6;9.1;83.6;10.7;6.6;5.1;12.3;0;0.8;3.2
BMW;11.4;23.7;34;-2.2;24;0;16.2;89.8;14.3;17.9;3.9;13.8;0.7;0;1.6
BMW;11;24.6;27.6;-0.8;20;0.3;10.7;85.8;11;10.7;3.9;7.6;1.5;1.5;5.8
BMW;8.6;17.1;28;-12.5;23;2.5;12.4;83.6;13.6;9.2;9;5.8;0;0.8;2.5
BMW;3.7;20.2;29.1;3.2;20.2;0.9;7.7;88.8;3.7;4.6;0.9;1.8;0;0;2.8
BMW;4;11.7;30;-12.8;28.9;2.9;0.5;83.8;14;11.8;5.7;7.7;0;0.9;6.7
BMW;15;24;27.7;2.1;32.9;7.5;15.5;87.8;16.6;10.8;9.2;9.1;2.9;0.8;6.7
BMW;11.5;24.8;31.7;-1.8;31.5;8.4;22.2;87.1;13.8;19.3;9.3;8.4;0.9;4.5;4.8
BMW;9.2;31.9;42.8;4.2;34.4;5;22.2;81.2;10.7;9.8;4.2;10.8;1.6;3.5;1.6
BMW;15.8;24.9;32.8;-2.7;18.6;2.3;6.7;90.6;20.9;11;7.5;9.7;1.6;2.5;3.2
BMW;8.2;29.7;41.3;1.8;30.3;5.6;10.5;90.6;8.2;11.1;10.4;12.1;3.7;1.9;6.4
BMW;3.1;18.1;29.8;-3.7;21.3;4.2;12.6;93.4;11.1;10.2;6.2;7.2;2.3;2.3;1.9
BMW;10.5;16.1;24.8;2.1;22.8;1.6;5.3;81.2;12.1;11.2;3.7;7;0.8;0.8;2.3
BMW;8.1;19.4;35.1;12.2;29.8;5.3;16.4;84.3;10;16.1;6.7;14.1;3.6;2.7;2.6
